images,labels
data/images/paper_096.jpg,data/labels/paper_096.txt
data/images/paper_016.jpg,data/labels/paper_016.txt
data/images/paper_031.jpg,data/labels/paper_031.txt
data/images/paper_159.jpg,data/labels/paper_159.txt
data/images/paper_129.jpg,data/labels/paper_129.txt
data/images/paper_116.jpg,data/labels/paper_116.txt
data/images/paper_070.jpeg,data/labels/paper_070.txt
data/images/paper_171.jpg,data/labels/paper_171.txt
data/images/paper_175.jpg,data/labels/paper_175.txt
data/images/paper_046.jpg,data/labels/paper_046.txt
data/images/paper_067.jpeg,data/labels/paper_067.txt
data/images/paper_183.jpg,data/labels/paper_183.txt
data/images/paper_166.jpg,data/labels/paper_166.txt
data/images/paper_079.png,data/labels/paper_079.txt
data/images/paper_187.jpg,data/labels/paper_187.txt
data/images/paper_178.jpg,data/labels/paper_178.txt
data/images/paper_057.jpeg,data/labels/paper_057.txt
data/images/paper_153.jpg,data/labels/paper_153.txt
data/images/paper_083.jpg,data/labels/paper_083.txt
data/images/paper_069.jpeg,data/labels/paper_069.txt
data/images/paper_125.jpg,data/labels/paper_125.txt
data/images/paper_017.jpg,data/labels/paper_017.txt
data/images/paper_149.jpg,data/labels/paper_149.txt
data/images/paper_094.jpg,data/labels/paper_094.txt
data/images/paper_066.jpeg,data/labels/paper_066.txt
data/images/paper_061.jpg,data/labels/paper_061.txt
data/images/paper_085.jpg,data/labels/paper_085.txt
data/images/paper_068.jpeg,data/labels/paper_068.txt
data/images/paper_126.jpg,data/labels/paper_126.txt
data/images/paper_133.jpg,data/labels/paper_133.txt
data/images/paper_010.jpg,data/labels/paper_010.txt
data/images/paper_019.jpg,data/labels/paper_019.txt
data/images/paper_056.jpeg,data/labels/paper_056.txt
data/images/paper_076.jpg,data/labels/paper_076.txt
data/images/paper_151.jpg,data/labels/paper_151.txt
data/images/paper_105.jpg,data/labels/paper_105.txt
data/images/paper_136.jpg,data/labels/paper_136.txt
data/images/paper_138.jpg,data/labels/paper_138.txt
data/images/paper_165.jpg,data/labels/paper_165.txt
data/images/paper_077.jpg,data/labels/paper_077.txt
data/images/paper_080.jpg,data/labels/paper_080.txt
data/images/paper_198.jpg,data/labels/paper_198.txt
data/images/paper_039.jpg,data/labels/paper_039.txt
data/images/paper_025.jpg,data/labels/paper_025.txt
data/images/paper_123.jpg,data/labels/paper_123.txt
data/images/paper_196.jpg,data/labels/paper_196.txt
data/images/paper_030.jpg,data/labels/paper_030.txt
data/images/paper_020.jpg,data/labels/paper_020.txt
data/images/paper_144.jpg,data/labels/paper_144.txt
data/images/paper_087.jpg,data/labels/paper_087.txt
data/images/paper_115.jpg,data/labels/paper_115.txt
data/images/paper_174.jpg,data/labels/paper_174.txt
data/images/paper_006.jpg,data/labels/paper_006.txt
data/images/paper_127.jpg,data/labels/paper_127.txt
data/images/paper_118.jpg,data/labels/paper_118.txt
data/images/paper_074.jpeg,data/labels/paper_074.txt
data/images/paper_141.jpg,data/labels/paper_141.txt
data/images/paper_099.jpg,data/labels/paper_099.txt
data/images/paper_173.jpg,data/labels/paper_173.txt
data/images/paper_097.jpg,data/labels/paper_097.txt
data/images/paper_170.jpg,data/labels/paper_170.txt
data/images/paper_098.jpg,data/labels/paper_098.txt
data/images/paper_032.jpg,data/labels/paper_032.txt
data/images/paper_013.jpg,data/labels/paper_013.txt
data/images/paper_036.jpg,data/labels/paper_036.txt
data/images/paper_120.jpg,data/labels/paper_120.txt
data/images/paper_043.jpg,data/labels/paper_043.txt
data/images/paper_190.jpg,data/labels/paper_190.txt
data/images/paper_091.jpg,data/labels/paper_091.txt
data/images/paper_137.jpg,data/labels/paper_137.txt
data/images/paper_052.jpeg,data/labels/paper_052.txt
data/images/paper_128.jpg,data/labels/paper_128.txt
data/images/paper_163.jpg,data/labels/paper_163.txt
data/images/paper_042.jpg,data/labels/paper_042.txt
data/images/paper_119.jpg,data/labels/paper_119.txt
data/images/paper_114.jpg,data/labels/paper_114.txt
data/images/paper_027.jpg,data/labels/paper_027.txt
data/images/paper_140.jpg,data/labels/paper_140.txt
data/images/paper_101.jpg,data/labels/paper_101.txt
data/images/paper_112.jpg,data/labels/paper_112.txt
data/images/paper_003.jpg,data/labels/paper_003.txt
data/images/paper_078.png,data/labels/paper_078.txt
